iso 2자리코드,월,강수량_mm,평균기온_℃,최고기온_℃,최저기온_℃,이슬점_℃,평균풍속_m/s,해면기압_hPa,추천_기술_라벨
ET,1,2733.38,32.39989022124641,37.53174201054627,26.022804894068194,24.0076798213515,7.528069582840736,964.6788127005574,"홍수 대응·물 관리 기술, 고온 대응 기술, 풍력 에너지 기술"
ET,2,758.18,24.624254115226336,29.97826646090535,17.403333333333332,14.306831275720166,5.882527777777778,909.2695648148149,"일반 강우 대비 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,3,1076.22,25.092866257576613,30.320643097074445,18.692985419129652,15.576160183152243,5.530239824353994,934.0912176997128,"홍수 대응·물 관리 기술, 소형 풍력 가능 지역"
ET,4,1533.63,24.857489819662593,29.729217568353693,19.232863098700797,16.68896645336436,5.455645724258289,948.5129668411867,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,5,1296.29,24.272675641170064,29.013733994217265,18.574640456610716,16.357060380759265,5.768342345386955,966.9208262926664,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,6,943.47,23.618985126859144,28.39912510936133,17.988864586371147,15.816627782638282,6.098066491688538,997.4428783902011,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 풍력 에너지 기술"
ET,7,1507.1,22.446142484877562,27.101393239823516,17.295317923969183,15.714324687908634,6.174125814918297,951.48772330878,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 풍력 에너지 기술"
ET,8,1968.3,25.271714691577532,30.05981711963424,20.1032465027893,26.719357660937543,6.411336889340445,964.5456608246551,"홍수 대응·물 관리 기술, 풍력 에너지 기술"
ET,9,922.39,23.29681637017595,28.461159716146593,17.539452707300477,16.142932827840966,5.762764654418198,942.2571041119859,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,10,1052.19,23.608288883244434,28.903381028984278,17.269946095447747,15.615683120255131,5.810583354500043,955.2863517060367,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,11,966.35,24.458768348400895,30.037294643725087,17.817390881695346,16.22846310877807,5.807156605424322,950.0585651793526,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
ET,12,814.18,23.392715419501133,28.67822656840514,16.697760770975055,15.024508692365835,5.73062925170068,950.4008758503402,"홍수 대응·물 관리 기술, 적정 기온 유지 기술, 소형 풍력 가능 지역"
