번호,데이터고유번호,기관기업고유번호,기술명칭,도시,직위
1,44381,32172,The equipment for plasma stimulated deposition of dielectric,러시아, 
2,44390,30759,실크자외선접목기술,,대표
3,44394,34112,Similar-type industrial CO2 lasers for material processing,러시아, 
4,44395,32184,Water-resistant bactericidal coatings,러시아, 
5,44396,34112,Smart CO2 laser surgical device,러시아, 
6,44399, ,recovery of refractory metals from raw secondary materials,러시아, 
7,44400,32411,system for semantic search and analysis of information,러시아, 
8,44402, ,The ferromagnetic semi-conductor material with high Curie t,러시아, 
9,44403,32177,Titanium Hydride SHS Powder,러시아, 
10,44405,32177,Tungsten Carbide SHS Powder,러시아, 
11,44408,32177,Production Method of Cast Alloy Based on Titanium Aluminides,러시아, 
12,44409,32187,Field effect hall sensor,러시아, 
13,44410,32318,Speech recognition technologies in the services systems,러시아, 
14,44411,34112,Optical elements for industrial CO2 laser systems -High-refl,러시아, 
15,44412,32296,Kola Centre of Geochronological and Isotope-Geochemical Inve,러시아, 
16,44413,34112,Optical elements for industrial CO2 laser systems- Phase-shi,러시아, 
17,44416,32177,Production Method of Porous Materials,러시아, 
18,44417,32182,Dangerous stocks of DDT &#8211; to useful production,러시아, 
19,44418,32592,method for preparation of hybrid composite materials,러시아, 
20,44419,32175,Technology for recovering powdery sorbents for oil and oil p,moscow, 
21,44420,34103,The universal Battery Doctor additive Magic Powder (AMP),러시아, 
22,44421,32177,SHS Protective Coatings based on Cr+Ti-C+Ni-Fe-Al,러시아, 
23,44422,32346,The Remote control of microrobots,러시아, 
24,44423,32346,The virtual system for MEMs designs,러시아, 
25,44424,32184,Development of new efficient catalytic systems for homogeneo,러시아, 
26,44425,32181,distributed process parameters monitoring,moscow, 
27,44426, ,Fine silicon carbide,러시아, 
28,44427,32186,Ge-doped silica fibers,러시아, 
29,44428,32185,Ecological electrochemical water treatment.,러시아, 
30,44429,32172,Experimental setup of plasma immersion ion implanter,러시아, 
31,44430,32185,The technology of extraction of powerful flat deposits of th,러시아, 
32,44431,32177,SHS Boron Nitride Powder,러시아, 
33,44433, ,AQUACHEM REAGENTS FOR WATER TREATMENT,러시아, 
34,44434, ,basalt charge pretreatment,러시아, 
35,44435,34103,Technology of emulsification of gas liquid intermixtures,러시아, 
36,44438,32182,Preparation of organophosphorous compounds from white phosph,러시아, 
37,44440,32316,Vermiculite-containing mixtures,러시아, 
38,44441,32292,"High-purity chalcogenide glasses of arsenic-sulfur, arsenic",러시아, 
39,44442,32186,In-fiber refractive index gratings,러시아, 
40,44443,32183,Processing of industrial and municipial waste. Superadiabat,러시아, 
41,44444,32186,Fiber Mode Field Distribution,러시아, 
42,44446,34102,Method of Manufacturing Building Materials,러시아, 
43,44447,32187,Microprobes and flexible shafts wiht dielectric or composite,러시아, 
44,44448,32187,Nanoresonators for ultra-violet semiconductor lasers,러시아, 
45,44450,32184,Novel leather-like material from the leather industry wastes,러시아, 
46,44451, ,"Process for producing crystobalite, quartz, corundum and bem",러시아, 
47,44452, ,process for removing hafnium from zirconium,러시아, 
48,44462, ,Binary Pt-Ni and Pd-Co catalists (TWC) for automotive conver,러시아, 
49,44465, ,Aluminum Nitride Powder and Items,러시아, 
50,44466, ,A-Silicon Nitride Powder,러시아, 
51,44467,32178,"Adaptor and software for plugging the viscosimeter ""Polymer",러시아, 
52,44468,32175,Biocatalizic technologies of textile production,러시아, 
53,44469,32318,Bundled software ‘Talka’,러시아, 
54,44470,32178,Production of gasoline from natural gas,러시아, 
55,44471,32178,Production of motor fuel from bio-ethanol as a way of СО2 ut,러시아, 
56,44472,32185,Pulsed power highly effective breaking-up technology for res,러시아, 
57,44473,32175,Radiation-convection drying machine MC,moscow, 
58,44474,32592,The Potential for Application of Mechanochemical Method,러시아, 
59,44476,32188,Technology of intellectual man-machine interface,러시아, 
60,44477,32188,Technology of realistic force - torque interaction,러시아, 
61,44478,34112,Optical elements for industrial CO2 laser systems- Variable-,러시아, 
62,44479,32186,Power supply module,러시아, 
63,44480,32316,Materials for building purposes,러시아, 
64,44482,32187,Silver halide- based optical materials for middle,러시아, 
65,44483,32592,Sorbents on the base of carboxymethylated materials,러시아, 
66,44486,32318,Radar of new generation for detection of invisible movin,러시아, 
67,44487,32186,Temperature and deformation sensors,러시아, 
68,44488,34108,A technological process for production,러시아, 
69,44489,32172,Advanced plasma diagnostics for plasma immersion ion implant,러시아, 
70,44490, ,Anti-acing reagent ncmm,러시아, 
71,44492,34103,Technology of deriving of porous activated liquid fuels,러시아, 
72,44493,32292,Optical elements from high-purity zinc sulfide and selenide,러시아, 
73,44494,32292,Optical fibers based on high-purity quartz glass,러시아, 
74,44496,32342,Spectral Imaging Microscopic AOTF-based Device,러시아, 
75,44497,32318,Soft Sensors for Process Quality Control,러시아, 
76,44498,32318,"The Computer-aided systems of Design, Simulating, Ergonomic",러시아, 
77,44499,32188,The Hydroacoustic Calculations System,moscow, 
78,44500,34108,Fermentation Complex KF-108,러시아, 
79,44501,32189,geological and geochemical propspecting of petroleum and ga,러시아, 
80,44502,34103,Technology of dispergation of the ozon-air intermixture in w,moscow, 
81,44503,32292,OPTICAL POLYCRYSTALLINE ZINC SELENIDE,moscow, 
82,44505,32172,Wide aperture inductively coupled plasma source with high la,moscow, 
83,44506,32292,Technique for production of high-purity selenium dioxide f,moscow, 
84,44507,32188,The Radar Calculations System,moscow, 
85,44508,32186,Germanate optical fibers,moscow, 
86,44509,32414,detection an early cataract of the eye,moscow, 
87,44510,32182,Electrochemical technologies of processing olefines,moscow, 
88,44511,32182,Highly effective technology of higher &#61537;-olefines,moscow, 
89,44512,34104,human insulin substance,moscow, 
90,44513,34112,"Industrial plants for cutting sheet materials, based on CO2",moscow, 
91,44514,32296,Kola PGE-bearing province: experience and results of geologi,moscow, 
92,44515,32185,Large-scale explosive technology,moscow, 
93,44516,32186,P-doped fibers,moscow, 
94,44520,32172,Wide aperture microwawe plasma source with high lateral homo,moscow, 
95,44523,32186,Fiber lasers,moscow, 
96,44524,34112,Laser stereolithographs,moscow, 
97,44525,32296,Life prolongation of large open pits: technical and technolo,moscow, 
98,44526, ,GIMM - Parallel Software Tool for Simulation,moscow, 
99,44564,31463,초전도재료과학 및 응용에서의 기초문제 연구,아시아, 
